"Table 1. Per Capita Personal Income by County, 2012 - 2014",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period2,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Rockingham,"58,592","58,274","60,844",1,-0.5,4.4,4
Strafford,"40,266","40,803","42,592",9,1.3,4.4,5
Sullivan,"42,354","43,345","45,214",8,2.3,4.3,7
,,,,,,,
New Jersey,"55,142","55,194","57,620",--,0.1,4.4,--
Atlantic,"41,927","41,659","43,336",19,-0.6,4.0,16
Bergen,"71,380","70,498","73,536",4,-1.2,4.3,13
Burlington,"51,390","51,785","53,747",9,0.8,3.8,19
Camden,"44,742","45,077","46,886",15,0.7,4.0,17
Cape May,"49,307","49,716","51,812",12,0.8,4.2,15
Cumberland,"34,170","34,286","35,468",21,0.3,3.4,21
Essex,"55,404","55,692","58,319",7,0.5,4.7,2
Gloucester,"44,392","45,011","46,603",16,1.4,3.5,20
Hudson,"47,819","47,886","50,088",13,0.1,4.6,6
Hunterdon,"74,622","74,358","77,944",3,-0.4,4.8,1
Mercer,"59,508","57,323","59,875",6,-3.7,4.5,8
Middlesex,"50,261","50,267","52,486",11,0.0,4.4,10
Monmouth,"63,001","63,067","66,019",5,0.1,4.7,4
Morris,"78,693","79,094","82,810",2,0.5,4.7,3
Ocean,"42,499","42,573","44,381",17,0.2,4.2,14
Passaic,"41,824","41,857","43,687",18,0.1,4.4,12
Salem,"40,817","41,262","42,850",20,1.1,3.8,18
Somerset,"78,163","80,167","83,731",1,2.6,4.4,9
Sussex,"50,169","50,534","52,851",10,0.7,4.6,7
Union,"54,649","54,889","57,306",8,0.4,4.4,11
Warren,"46,172","46,495","48,645",14,0.7,4.6,5
,,,,,,,
New Mexico,"35,585","35,254","37,091",--,-0.9,5.2,--
Bernalillo,"37,422","37,223","38,690",8,-0.5,3.9,28
Catron,"29,292","29,562","32,092",24,0.9,8.6,11
Chaves,"33,601","32,278","35,377",16,-3.9,9.6,5
Cibola,"24,447","24,112","25,302",32,-1.4,4.9,26
Colfax,"34,564","33,992","37,205",12,-1.7,9.5,6
Curry,"39,369","40,273","43,006",6,2.3,6.8,20
De Baca,"35,479","32,842","40,160",7,-7.4,22.3,2
Doña Ana,"29,935","29,143","30,593",27,-2.6,5.0,25
Eddy,"51,348","48,659","52,323",3,-5.2,7.5,15
Grant,"33,029","33,950","35,908",15,2.8,5.8,21
Guadalupe,"26,835","25,506","28,730",30,-5.0,12.6,3
Harding,"51,290","41,148","53,296",2,-19.8,29.5,1
Hidalgo,"31,813","35,048","37,642",11,10.2,7.4,17
Lea,"41,661","41,880","45,185",5,0.5,7.9,14
Lincoln,"35,808","35,449","38,115",9,-1.0,7.5,16
Los Alamos,"62,683","60,690","62,619",1,-3.2,3.2,33
Luna,"28,262","27,830","29,055",29,-1.5,4.4,27
McKinley,"23,800","22,889","23,789",33,-3.8,3.9,29
Mora,"29,819","29,733","32,262",23,-0.3,8.5,12
Otero,"32,709","32,448","33,653",19,-0.8,3.7,31
Quay,"31,327","32,388","35,176",17,3.4,8.6,9
Rio Arriba,"30,980","29,471","30,976",26,-4.9,5.1,24
Roosevelt,"34,510","34,585","37,852",10,0.2,9.4,7
Sandoval,"35,191","34,800","36,088",14,-1.1,3.7,32
San Juan,"33,742","33,732","36,197",13,0.0,7.3,18
San Miguel,"30,157","29,410","31,760",25,-2.5,8.0,13
Santa Fe,"46,349","46,538","48,291",4,0.4,3.8,30
Sierra,"32,078","31,887","34,621",18,-0.6,8.6,10
Socorro,"30,292","30,534","32,712",21,0.8,7.1,19
Taos,"31,702","31,366","32,998",20,-1.1,5.2,23
Torrance,"26,156","26,426","28,714",31,1.0,8.7,8
Union,"31,346","29,354","32,393",22,-6.4,10.4,4
Valencia,"28,091","27,895","29,422",28,-0.7,5.5,22
,,,,,,,
New York,"53,571","53,606","55,611",--,0.1,3.7,--
Albany,"50,781","51,333","52,921",8,1.1,3.1,37
Allegany,"31,277","31,436","33,128",59,0.5,5.4,2
Bronx,"30,804","31,244","32,238",61,1.4,3.2,33
Broome,"37,255","37,268","37,958",35,0.0,1.9,58
Cattaraugus,"34,318","34,402","35,395",52,0.2,2.9,44
Cayuga,"36,004","36,445","37,774",38,1.2,3.6,20
Chautauqua,"33,089","33,099","34,296",57,0.0,3.6,22
Chemung,"37,066","37,533","38,820",31,1.3,3.4,28
Chenango,"34,760","35,427","36,684",44,1.9,3.5,25
Clinton,"36,361","36,617","37,709",39,0.7,3.0,41
Columbia,"44,094","44,446","45,889",14,0.8,3.2,32
Cortland,"34,898","34,976","35,950",49,0.2,2.8,49
Delaware,"33,955","34,706","36,332",46,2.2,4.7,4
Dutchess,"45,126","45,208","47,151",11,0.2,4.3,10
Erie,"43,180","43,431","44,740",17,0.6,3.0,39
Essex,"37,772","38,434","39,963",24,1.8,4.0,18
Franklin,"33,749","34,413","34,754",55,2.0,1.0,61
Fulton,"36,131","36,610","37,879",37,1.3,3.5,27
Genesee,"37,128","37,868","39,064",30,2.0,3.2,34
Greene,"36,875","37,263","38,812",32,1.1,4.2,15
Hamilton,"43,818","45,178","50,157",9,3.1,11.0,1
Herkimer,"35,136","35,504","36,283",47,1.0,2.2,55
Jefferson,"42,767","42,601","43,384",20,-0.4,1.8,59
Kings,"37,829","38,515","39,898",25,1.8,3.6,23
Lewis,"39,019","40,314","41,579",23,3.3,3.1,35
Livingston,"35,627","35,740","36,579",45,0.3,2.3,53
Madison,"36,368","36,387","37,663",41,0.1,3.5,26
Monroe,"44,961","44,673","45,927",12,-0.6,2.8,46
Montgomery,"35,196","35,563","36,252",48,1.0,1.9,57
Nassau,"71,445","70,624","73,618",3,-1.1,4.2,12
New York,"141,408","142,187","148,002",1,0.6,4.1,16
Niagara,"37,526","37,993","39,077",29,1.2,2.9,45
Oneida,"37,793","37,784","38,383",34,0.0,1.6,60
Onondaga,"43,109","42,937","44,237",19,-0.4,3.0,38
Ontario,"44,004","44,791","45,915",13,1.8,2.5,52
Orange,"42,521","42,975","44,870",16,1.1,4.4,8
Orleans,"31,117","31,457","31,720",62,1.1,0.8,62
Oswego,"33,680","33,629","34,570",56,-0.2,2.8,48
Otsego,"34,198","34,282","35,448",51,0.2,3.4,29
Putnam,"61,268","53,962","56,458",6,-11.9,4.6,6
Queens,"38,072","38,121","39,507",26,0.1,3.6,21
Rensselaer,"40,983","41,782","42,926",21,1.9,2.7,51
Richmond,"45,467","45,537","47,360",10,0.2,4.0,17
Rockland,"52,134","51,285","53,270",7,-1.6,3.9,19
St. Lawrence,"31,541","32,029","33,179",58,1.5,3.6,24
Saratoga,"54,540","54,952","56,662",5,0.8,3.1,36
Schenectady,"42,767","43,045","44,238",18,0.7,2.8,50
Schoharie,"32,644","33,466","34,877",54,2.5,4.2,13
Schuyler,"35,933","36,183","37,253",42,0.7,3.0,42
Seneca,"33,671","34,289","35,082",53,1.8,2.3,54
Steuben,"37,316","37,888","39,167",28,1.5,3.4,30
Suffolk,"54,526","54,383","56,725",4,-0.3,4.3,9
Sullivan,"37,564","37,616","39,368",27,0.1,4.7,5
Tioga,"37,339","37,631","38,416",33,0.8,2.1,56
Tompkins,"36,790","36,659","37,686",40,-0.4,2.8,47
Ulster,"39,577","39,866","41,648",22,0.7,4.5,7
Warren,"43,461","44,054","45,509",15,1.4,3.3,31
Washington,"33,529","34,229","35,657",50,2.1,4.2,14
Wayne,"36,269","36,861","37,944",36,1.6,2.9,43
Westchester,"86,604","84,187","87,777",2,-2.8,4.3,11
Wyoming,"34,285","35,429","37,091",43,3.3,4.7,3
Yates,"31,285","32,010","32,970",60,2.3,3.0,40
,,,,,,,
North Carolina,"38,655","37,774","39,171",--,-2.3,3.7,--
Alamance,"34,379","33,615","34,801",41,-2.2,3.5,59
Alexander,"31,334","31,071","32,956",53,-0.8,6.1,6
Alleghany,"29,832","30,917","32,540",57,3.6,5.2,11
Anson,"29,131","29,202","31,230",73,0.2,6.9,3
Ashe,"30,014","30,077","31,215",74,0.2,3.8,54
Avery,"29,269","29,072","30,715",81,-0.7,5.7,8
Beaufort,"35,872","35,666","36,372",29,-0.6,2.0,94
Bertie,"30,709","30,633","32,312",61,-0.2,5.5,10
Bladen,"31,686","31,522","32,743",54,-0.5,3.9,49
Brunswick,"34,581","34,311","35,279",37,-0.8,2.8,82
Buncombe,"37,998","36,834","38,128",21,-3.1,3.5,60
Burke,"31,486","30,369","31,827",66,-3.5,4.8,18
Cabarrus,"37,599","37,022","38,521",20,-1.5,4.0,42
Caldwell,"29,314","28,645","30,091",83,-2.3,5.0,14
Camden,"39,944","39,122","39,320",17,-2.1,0.5,100
Carteret,"43,581","42,515","43,903",7,-2.4,3.3,71
Caswell,"28,256","28,258","29,443",89,0.0,4.2,36
Catawba,"35,930","35,289","36,742",27,-1.8,4.1,38
Chatham,"51,467","50,044","51,593",2,-2.8,3.1,75
Cherokee,"27,379","27,132","28,064",99,-0.9,3.4,64
Chowan,"34,039","33,743","35,054",39,-0.9,3.9,48
Clay,"27,383","27,133","28,176",98,-0.9,3.8,53
Cleveland,"30,770","30,482","31,699",69,-0.9,4.0,45
Columbus,"29,882","30,403","30,852",80,1.7,1.5,97
Craven,"38,813","38,166","39,436",16,-1.7,3.3,68
Cumberland,"36,916","36,420","37,592",24,-1.3,3.2,73
Currituck,"38,727","38,129","38,760",19,-1.5,1.7,96
Dare,"43,758","43,095","44,328",6,-1.5,2.9,79
Davidson,"34,269","33,274","34,650",42,-2.9,4.1,37
Davie,"39,838","38,846","40,542",13,-2.5,4.4,27
Duplin,"31,956","33,508","35,546",34,4.9,6.1,5
Durham,"43,291","41,684","42,830",8,-3.7,2.7,84
Edgecombe,"31,362","30,872","32,176",63,-1.6,4.2,35
Forsyth,"41,491","39,938","41,437",10,-3.7,3.8,55
Franklin,"31,326","30,610","31,826",67,-2.3,4.0,46
Gaston,"35,103","34,986","36,404",28,-0.3,4.1,41
Gates,"31,108","31,571","32,368",59,1.5,2.5,90
Graham,"27,500","26,876","28,264",97,-2.3,5.2,12
Granville,"32,044","32,209","33,123",49,0.5,2.8,81
Greene,"27,870","28,962","31,087",75,3.9,7.3,2
Guilford,"39,467","38,923","40,344",14,-1.4,3.7,57
Halifax,"32,125","31,600","32,376",58,-1.6,2.5,91
Harnett,"30,968","30,296","31,324",72,-2.2,3.4,66
Haywood,"34,099","32,796","33,930",47,-3.8,3.5,63
Henderson,"35,160","34,315","35,518",35,-2.4,3.5,61
Hertford,"27,934","27,555","28,752",94,-1.4,4.3,30
Hoke,"27,953","27,838","28,790",93,-0.4,3.4,65
Hyde,"30,795","31,764","32,987",52,3.1,3.9,52
Iredell,"38,719","38,913","40,747",12,0.5,4.7,20
Jackson,"29,575","29,583","30,935",79,0.0,4.6,24
Johnston,"34,785","33,862","34,930",40,-2.7,3.2,74
Jones,"37,218","37,023","38,925",18,-0.5,5.1,13
Lee,"34,501","33,524","34,648",43,-2.8,3.4,67
Lenoir,"36,701","35,781","37,297",26,-2.5,4.2,34
Lincoln,"33,538","33,973","35,879",31,1.3,5.6,9
McDowell,"27,662","27,686","28,985",91,0.1,4.7,21
Macon,"32,283","32,556","33,937",46,0.8,4.2,33
Madison,"27,834","27,884","28,964",92,0.2,3.9,50
Martin,"32,891","33,146","34,567",44,0.8,4.3,31
Mecklenburg,"50,210","47,201","49,099",4,-6.0,4.0,44
Mitchell,"28,473","28,359","29,501",88,-0.4,4.0,43
Montgomery,"29,958","30,560","32,334",60,2.0,5.8,7
Moore,"41,932","40,547","41,613",9,-3.3,2.6,87
Nash,"36,683","35,942","37,505",25,-2.0,4.3,28
New Hanover,"40,030","38,965","40,076",15,-2.7,2.9,80
Northampton,"30,880","30,429","31,042",76,-1.5,2.0,93
Onslow,"45,277","44,124","44,538",5,-2.5,0.9,99
Orange,"51,381","51,675","52,989",1,0.6,2.5,88
Pamlico,"37,287","37,210","37,926",22,-0.2,1.9,95
Pasquotank,"33,569","33,644","34,331",45,0.2,2.0,92
Pender,"30,533","30,539","31,366",71,0.0,2.7,85
Perquimans,"36,764","34,859","35,742",33,-5.2,2.5,89
Person,"32,236","31,922","33,113",50,-1.0,3.7,56
Pitt,"35,042","34,216","35,410",36,-2.4,3.5,62
Polk,"37,025","36,265","37,842",23,-2.1,4.3,29
Randolph,"31,160","30,500","31,896",64,-2.1,4.6,23
Richmond,"28,630","28,650","29,991",85,0.1,4.7,22
Robeson,"25,733","25,872","26,639",100,0.5,3.0,77
Rockingham,"31,815","31,362","32,638",55,-1.4,4.1,40
Rowan,"30,173","30,294","31,587",70,0.4,4.3,32
Rutherford,"27,798","27,265","28,379",95,-1.9,4.1,39
Sampson,"32,545","33,632","35,821",32,3.3,6.5,4
Scotland,"28,878","28,116","29,039",90,-2.6,3.3,69
Stanly,"30,999","31,203","32,571",56,0.7,4.4,26
Stokes,"31,046","30,310","31,742",68,-2.4,4.7,19
Surry,"31,799","31,958","33,538",48,0.5,4.9,16
Swain,"28,165","28,834","29,712",87,2.4,3.0,76
Transylvania,"31,778","31,976","33,112",51,0.6,3.6,58
Tyrrell,"29,833","29,155","30,098",82,-2.3,3.2,72
Union,"39,646","39,415","41,166",11,-0.6,4.4,25
Vance,"29,632","29,179","30,024",84,-1.5,2.9,78
Wake,"50,381","48,396","49,695",3,-3.9,2.7,86
Warren,"26,132","26,258","28,356",96,0.5,8.0,1
Washington,"32,883","31,852","32,221",62,-3.1,1.2,98
Watauga,"30,362","29,828","30,998",77,-1.8,3.9,47
Wayne,"34,484","34,066","35,181",38,-1.2,3.3,70
Wilkes,"29,588","29,525","30,988",78,-0.2,5.0,15
Wilson,"35,342","35,065","36,044",30,-0.8,2.8,83
Yadkin,"31,673","30,404","31,890",65,-4.0,4.9,17
Yancey,"28,591","28,674","29,783",86,0.3,3.9,51
,,,,,,,
North Dakota,"55,388","54,373","55,802",--,-1.8,2.6,--
Adams,"55,560","41,110","43,369",44,-26.0,5.5,10
Barnes,"53,853","51,904","49,559",31,-3.6,-4.5,42
Benson,"43,203","32,946","31,909",50,-23.7,-3.1,39
Billings,"76,585","74,819","87,254",4,-2.3,16.6,2
Bottineau,"69,697","61,630","57,030",15,-11.6,-7.5,45
Bowman,"65,059","63,653","65,368",10,-2.2,2.7,16
Burke,"89,547","89,030","96,495",2,-0.6,8.4,6
Burleigh,"50,037","51,090","53,387",22,2.1,4.5,12
Cass,"51,613","51,343","52,711",23,-0.5,2.7,17
Cavalier,"72,416","72,023","68,781",8,-0.5,-4.5,41
Dickey,"63,420","59,480","59,072",13,-6.2,-0.7,28
Divide,"71,870","64,616","64,209",11,-10.1,-0.6,26
Dunn,"72,075","79,411","80,900",5,10.2,1.9,19
Eddy,"49,376","46,907","45,726",38,-5.0,-2.5,35
Emmons,"54,191","43,139","41,294",48,-20.4,-4.3,40
Foster,"60,120","50,068","49,314",32,-16.7,-1.5,30
Golden Valley,"43,868","41,191","42,800",45,-6.1,3.9,13
Grand Forks,"43,841","42,943","44,177",41,-2.0,2.9,14
Grant,"56,741","39,830","43,810",43,-29.8,10.0,4
Griggs,"60,860","58,288","53,389",21,-4.2,-8.4,48
Hettinger,"69,508","51,061","55,144",19,-26.5,8.0,7
Kidder,"52,882","49,707","50,133",29,-6.0,0.9,23
LaMoure,"69,640","54,418","59,497",12,-21.9,9.3,5
Logan,"59,613","55,913","66,350",9,-6.2,18.7,1
McHenry,"55,665","52,226","52,089",24,-6.2,-0.3,25
McIntosh,"51,728","46,472","49,745",30,-10.2,7.0,9
McKenzie,"75,373","79,669","80,640",6,5.7,1.2,22
McLean,"57,779","57,167","55,838",18,-1.1,-2.3,32
Mercer,"48,863","50,097","51,034",27,2.5,1.9,20
Morton,"43,974","43,925","44,464",40,-0.1,1.2,21
Mountrail,"64,217","63,018","70,326",7,-1.9,11.6,3
Nelson,"54,708","52,664","51,480",25,-3.7,-2.2,31
Oliver,"54,305","47,363","45,911",37,-12.8,-3.1,38
Pembina,"55,381","49,519","49,188",33,-10.6,-0.7,27
Pierce,"43,314","40,375","39,408",49,-6.8,-2.4,33
Ramsey,"48,927","43,917","42,640",46,-10.2,-2.9,36
Ransom,"50,280","45,113","43,999",42,-10.3,-2.5,34
Renville,"77,437","63,792","56,073",16,-17.6,-12.1,50
Richland,"50,700","44,888","41,400",47,-11.5,-7.8,47
Rolette,"31,885","29,953","30,621",51,-6.1,2.2,18
Sargent,"62,827","59,954","50,530",28,-4.6,-15.7,51
Sheridan,"50,547","27,458","24,393",53,-45.7,-11.2,49
Sioux,"26,325","25,014","24,680",52,-5.0,-1.3,29
Slope,"78,975","76,859","57,069",14,-2.7,-25.7,53
Stark,"76,284","83,586","89,515",3,9.6,7.1,8
Steele,"78,155","71,032","53,524",20,-9.1,-24.6,52
Stutsman,"50,694","48,171","48,420",34,-5.0,0.5,24
Towner,"60,638","49,212","47,706",35,-18.8,-3.1,37
Traill,"53,883","48,500","44,845",39,-10.0,-7.5,46
Walsh,"52,303","49,815","46,480",36,-4.8,-6.7,43
Ward,"54,454","54,519","56,024",17,0.1,2.8,15
Wells,"64,666","55,164","51,325",26,-14.7,-7.0,44
Williams,"118,611","115,963","121,538",1,-2.2,4.8,11
,,,,,,,
Ohio,"40,329","40,749","42,236",--,1.0,3.6,--
Adams,"26,663","27,362","28,374",87,2.6,3.7,41
Allen,"35,237","35,085","36,169",47,-0.4,3.1,60
Ashland,"31,911","32,745","33,995",66,2.6,3.8,36
Ashtabula,"31,741","32,066","33,412",69,1.0,4.2,15
Athens,"29,481","29,752","30,977",81,0.9,4.1,20
Auglaize,"39,868","39,809","41,443",18,-0.1,4.1,21
Belmont,"34,959","36,180","37,973",34,3.5,5.0,7
Brown,"30,500","31,185","32,478",76,2.2,4.1,17
Butler,"38,884","39,403","40,878",20,1.3,3.7,40
Carroll,"32,656","34,131","35,541",51,4.5,4.1,18
Champaign,"34,436","36,167","36,883",39,5.0,2.0,82
Clark,"34,659","35,217","36,580",42,1.6,3.9,33
Clermont,"40,704","41,299","43,002",15,1.5,4.1,19
Clinton,"34,483","34,833","35,713",49,1.0,2.5,74
Columbiana,"32,537","32,650","33,885",67,0.3,3.8,38
Coshocton,"31,902","33,044","34,421",62,3.6,4.2,16
Crawford,"32,649","33,453","34,198",63,2.5,2.2,79
Cuyahoga,"47,116","46,694","48,521",5,-0.9,3.9,30
Darke,"36,217","36,958","38,586",33,2.0,4.4,13
Defiance,"33,685","35,349","36,798",40,4.9,4.1,22
Delaware,"61,519","62,175","63,790",1,1.1,2.6,72
Erie,"40,926","41,483","43,003",14,1.4,3.7,45
Fairfield,"38,751","39,223","40,324",24,1.2,2.8,69
Fayette,"33,128","34,638","35,189",54,4.6,1.6,85
Franklin,"44,142","43,838","45,158",7,-0.7,3.0,63
Fulton,"36,823","38,002","38,885",30,3.2,2.3,78
Gallia,"33,172","33,370","34,163",65,0.6,2.4,77
Geauga,"53,731","54,073","56,043",2,0.6,3.6,48
Greene,"41,402","42,226","43,817",11,2.0,3.8,39
Guernsey,"32,392","33,133","34,453",60,2.3,4.0,27
Hamilton,"49,057","49,309","51,229",3,0.5,3.9,31
Hancock,"39,131","41,740","43,624",12,6.7,4.5,11
Hardin,"30,037","31,555","32,491",75,5.1,3.0,64
Harrison,"29,585","32,491","34,434",61,9.8,6.0,5
Henry,"36,130","37,635","37,953",35,4.2,0.8,86
Highland,"28,597","29,061","29,955",83,1.6,3.1,61
Hocking,"30,476","31,495","32,502",74,3.3,3.2,56
Holmes,"29,606","30,874","32,778",72,4.3,6.2,3
Huron,"33,600","34,859","35,698",50,3.7,2.4,76
Jackson,"31,143","31,433","32,701",73,0.9,4.0,25
Jefferson,"32,936","33,439","34,481",59,1.5,3.1,59
Knox,"35,331","36,629","37,782",36,3.7,3.1,58
Lake,"41,750","42,469","44,010",10,1.7,3.6,49
Lawrence,"31,943","31,946","32,892",70,0.0,3.0,65
Licking,"37,679","38,489","39,835",28,2.1,3.5,51
Logan,"36,638","37,862","38,860",31,3.3,2.6,70
Lorain,"37,906","38,557","39,901",27,1.7,3.5,52
Lucas,"38,789","38,909","40,702",22,0.3,4.6,10
Madison,"34,635","36,642","36,527",43,5.8,-0.3,88
Mahoning,"38,239","38,494","39,978",26,0.7,3.9,34
Marion,"32,169","32,480","33,474",68,1.0,3.1,62
Medina,"44,623","45,420","46,966",6,1.8,3.4,53
Meigs,"27,812","27,938","28,963",86,0.5,3.7,44
Mercer,"39,490","41,137","43,158",13,4.2,4.9,8
Miami,"38,370","39,175","40,301",25,2.1,2.9,67
Monroe,"27,970","29,004","30,453",82,3.7,5.0,6
Montgomery,"39,227","39,261","40,851",21,0.1,4.0,23
Morgan,"26,933","28,016","29,880",84,4.0,6.7,1
Morrow,"31,115","32,227","32,869",71,3.6,2.0,81
Muskingum,"33,084","34,186","35,319",52,3.3,3.3,55
Noble,"25,076","25,956","26,913",88,3.5,3.7,42
Ottawa,"41,824","42,482","44,178",9,1.6,4.0,26
Paulding,"33,509","34,351","36,429",45,2.5,6.0,4
Perry,"28,987","30,128","31,086",80,3.9,3.2,57
Pickaway,"32,638","34,545","34,785",55,5.8,0.7,87
Pike,"29,841","30,743","32,093",78,3.0,4.4,14
Portage,"37,347","37,700","38,956",29,0.9,3.3,54
Preble,"32,488","34,085","34,757",56,4.9,2.0,83
Putnam,"39,636","41,966","42,671",16,5.9,1.7,84
Richland,"32,506","32,875","34,180",64,1.1,4.0,28
Ross,"30,634","31,315","32,228",77,2.2,2.9,66
Sandusky,"34,448","35,514","36,440",44,3.1,2.6,71
Scioto,"30,047","30,542","31,627",79,1.6,3.6,50
Seneca,"32,103","33,686","34,516",58,4.9,2.5,75
Shelby,"36,085","37,340","38,809",32,3.5,3.9,29
Stark,"38,696","38,935","40,409",23,0.6,3.8,37
Summit,"42,467","43,182","44,761",8,1.7,3.7,46
Trumbull,"33,199","33,328","34,611",57,0.4,3.8,35
Tuscarawas,"34,036","34,710","36,115",48,2.0,4.0,24
Union,"39,489","41,695","42,610",17,5.6,2.2,80
Van Wert,"34,246","35,792","36,705",41,4.5,2.6,73
Vinton,"28,197","27,582","29,299",85,-2.2,6.2,2
Warren,"46,703","47,735","49,584",4,2.2,3.9,32
Washington,"34,865","35,447","37,151",37,1.7,4.8,9
Wayne,"32,879","33,718","35,232",53,2.6,4.5,12
Williams,"33,936","34,965","36,241",46,3.0,3.6,47
Wood,"39,072","39,535","40,986",19,1.2,3.7,43
Wyandot,"34,377","36,095","37,122",38,5.0,2.8,68
,,,,,,,
Oklahoma,"41,549","41,962","43,637",--,1.0,4.0,--
Adair,"24,402","24,935","25,534",77,2.2,2.4,69
Alfalfa,"48,249","45,804","49,026",11,-5.1,7.0,11
Atoka,"28,361","28,973","30,524",70,2.2,5.4,24
Beaver,"50,663","50,763","54,222",5,0.2,6.8,13
Beckham,"41,156","42,218","44,188",19,2.6,4.7,29
Blaine,"40,482","39,317","41,027",26,-2.9,4.3,36
Bryan,"28,436","29,193","30,514",71,2.7,4.5,33
Caddo,"28,613","29,264","30,605",69,2.3,4.6,31
Canadian,"40,016","40,455","41,747",23,1.1,3.2,59
Carter,"41,650","41,793","43,671",20,0.3,4.5,34
Cherokee,"27,575","28,640","29,452",74,3.9,2.8,65
Choctaw,"29,066","29,549","30,959",66,1.7,4.8,27
Cimarron,"51,506","48,076","55,292",3,-6.7,15.0,1
Cleveland,"39,002","39,465","40,985",27,1.2,3.9,46
Coal,"31,468","32,879","35,904",43,4.5,9.2,8
Comanche,"35,851","36,560","37,195",39,2.0,1.7,72
Cotton,"40,248","39,600","40,718",29,-1.6,2.8,66
Craig,"33,102","33,053","36,559",42,-0.1,10.6,6
Creek,"36,355","37,704","39,281",32,3.7,4.2,39
Custer,"40,958","40,009","41,192",24,-2.3,3.0,62
Delaware,"29,248","29,969","30,905",67,2.5,3.1,60
Dewey,"47,203","51,935","54,034",6,10.0,4.0,41
Ellis,"58,167","60,212","68,053",1,3.5,13.0,2
Garfield,"44,484","43,497","45,050",17,-2.2,3.6,51
Garvin,"37,997","39,000","41,099",25,2.6,5.4,23
Grady,"36,636","36,921","38,500",34,0.8,4.3,38
Grant,"51,113","52,575","52,018",7,2.9,-1.1,77
Greer,"24,874","24,532","26,195",76,-1.4,6.8,14
Harmon,"35,520","36,505","36,852",40,2.8,1.0,74
Harper,"44,095","42,302","45,958",14,-4.1,8.6,10
Haskell,"32,097","34,416","35,551",44,7.2,3.3,58
Hughes,"31,903","32,767","34,284",52,2.7,4.6,30
Jackson,"36,681","36,371","38,154",35,-0.8,4.9,26
Jefferson,"31,717","31,174","35,148",46,-1.7,12.7,3
Johnston,"29,974","30,490","32,187",63,1.7,5.6,22
Kay,"37,892","39,049","39,207",33,3.1,0.4,76
Kingfisher,"42,570","43,709","45,005",18,2.7,3.0,61
Kiowa,"34,067","32,694","33,594",58,-4.0,2.8,67
Latimer,"33,093","33,522","34,087",55,1.3,1.7,73
Le Flore,"29,878","30,514","31,395",65,2.1,2.9,63
Lincoln,"31,914","32,832","33,968",56,2.9,3.5,55
Logan,"42,300","43,385","45,064",16,2.6,3.9,43
Love,"31,796","33,423","35,380",45,5.1,5.9,18
McClain,"38,901","39,349","40,912",28,1.2,4.0,42
McCurtain,"28,929","29,726","30,286",72,2.8,1.9,71
McIntosh,"30,681","31,187","32,987",60,1.6,5.8,19
Major,"42,494","44,354","48,348",12,4.4,9.0,9
Marshall,"33,207","33,347","34,520",51,0.4,3.5,52
Mayes,"31,225","32,412","34,244",53,3.8,5.7,21
Murray,"37,681","38,042","39,775",30,1.0,4.6,32
Muskogee,"31,782","32,302","33,376",59,1.6,3.3,57
Noble,"35,276","37,028","37,976",37,5.0,2.6,68
Nowata,"32,627","33,436","34,154",54,2.5,2.1,70
Okfuskee,"25,939","26,845","28,685",75,3.5,6.9,12
Oklahoma,"48,407","49,322","51,038",8,1.9,3.5,53
Okmulgee,"29,217","30,081","31,509",64,3.0,4.7,28
Osage,"34,070","34,785","36,775",41,2.1,5.7,20
Ottawa,"31,817","32,789","32,924",61,3.1,0.4,75
Pawnee,"31,833","32,539","33,626",57,2.2,3.3,56
Payne,"35,225","35,756","38,028",36,1.5,6.4,16
Pittsburg,"35,337","34,086","35,057",48,-3.5,2.8,64
Pontotoc,"36,854","37,158","39,422",31,0.8,6.1,17
Pottawatomie,"33,610","33,798","35,084",47,0.6,3.8,47
Pushmataha,"28,994","29,100","30,225",73,0.4,3.9,44
Roger Mills,"42,672","44,221","49,555",10,3.6,12.1,4
Rogers,"39,354","40,794","42,451",21,3.7,4.1,40
Seminole,"32,362","31,563","32,693",62,-2.5,3.6,50
Sequoyah,"29,239","29,590","30,617",68,1.2,3.5,54
Stephens,"47,511","46,592","49,556",9,-1.9,6.4,15
Texas,"40,204","41,213","45,417",15,2.5,10.2,7
Tillman,"34,237","33,868","37,793",38,-1.1,11.6,5
Tulsa,"55,345","54,302","56,401",2,-1.9,3.9,45
Wagoner,"32,612","33,505","34,735",49,2.7,3.7,49
Washington,"43,385","45,122","46,788",13,4.0,3.7,48
Washita,"34,238","33,247","34,678",50,-2.9,4.3,37
Woods,"41,205","40,631","42,421",22,-1.4,4.4,35
Woodward,"50,059","52,187","54,746",4,4.3,4.9,25
,,,,,,,
Oregon,"39,083","39,426","41,220",--,0.9,4.6,--
Baker,"31,391","31,608","33,723",31,0.7,6.7,11
Benton,"37,675","38,195","39,698",10,1.4,3.9,33
Clackamas,"47,110","47,053","48,713",2,-0.1,3.5,35
Clatsop,"35,508","36,419","37,726",12,2.6,3.6,34
Columbia,"34,568","34,991","36,680",15,1.2,4.8,20
Coos,"33,594","34,506","36,469",18,2.7,5.7,14
Crook,"31,339","31,927","34,088",30,1.9,6.8,10
Curry,"34,293","34,281","35,720",22,0.0,4.2,29
